ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
6271	Hs.664138	Transcribed locus		NA	AA625648	
6272	Hs.279912	CP110 protein		CP110	AA625653	
6273	Hs.632532	Histone acetyltransferase 1	"Histone acetylation, particularly of histone H4, has been proposed to play an important role in replication-dependent nucleosome assembly.  The HAT1 protein contains D, A, and B motifs, which are present in many N-acetyltransferases, including those that acetylate substrates other than histones. The HAT1 holoenzyme consists of 2 subunits: the catalytic 46-kD HAT1 and the accessory p46. The p46 subunit stimulated the activity of HAT1 and bound to core histones. The HAT1 holoenzyme acetylated newly synthesized but not nucleosomal histone H4 at lys5 and lys12, and, to a lesser extent, histone H2A at lys5.  HAT1 and p46 polypeptides are located in the nucleus of S-phase cells."	HAT1	AA625662	
6274	Hs.604103	"Clone DT1P1A11 mRNA, CAG repeat region"		NA	AA625664	
6275	Hs.459940	Lipopolysaccharide-induced TNF factor		LITAF	AA625666	
6276	Hs.664140	Transcribed locus		NA	AA625671	
6277	Hs.298573	SH3-binding domain protein 5-like		SH3BP5L	AA625727	
6278	Hs.655892	Ectonucleoside triphosphate diphosphohydrolase 1		ENTPD1	AA625738	
6279	Hs.654547	"Casein kinase 1, alpha 1"		CSNK1A1	AA625758	
6280	Hs.496535	Chromosome X open reading frame 39		CXorf39	AA625773	
6281	Hs.467868	Hypothetical LOC653140		FLJ30851	AA625774	
6282	Hs.664146	Hypothetical LOC643441		LOC643441	AA625784	
6283	Hs.410092	KIAA0652		KIAA0652	AA625789	
6284	Hs.468908	MAX dimerization protein 1	"MAX dimerization protein belongs to a subfamily of MAX-interacting proteins. This protein competes with MYC for binding to MAX to form a sequence-specific DNA-binding complex, acts as a transcriptional repressor (while MYC appears to function as an activator) and is a candidate tumor suppressor."	MXD1	AA625793	
6285	Hs.494457	Ninjurin 1		NINJ1	AA625806	
6286	Data not found			NA	AA625812	
6287	Hs.13303	Trafficking protein particle complex 6B		TRAPPC6B	AA625846	
6288	Hs.174934	Transcribed locus		NA	AA625847	
6289	Hs.549435	Transcribed locus		NA	AA625852	
6290	Hs.34314	MAP/microtubule affinity-regulating kinase 4		MARK4	AA625853	
6291	Hs.600688	Transcribed locus		NA	AA625854	
6292	Hs.316890	Sorting nexin 5	"This gene encodes a member of the sorting nexin family. Members of this family contain a phox (PX) domain, which is a phosphoinositide binding domain, and are involved in intracellular trafficking. This protein binds to fanconi anemia complementation group A protein, but its function is unknown. This gene results in two transcript variants encoding the same protein."	SNX5	AA625856	
6293	Hs.568078	"Family with sequence similarity 87, member B"		FAM87B	AA625858	
6294	Hs.632261	Suppressor of cytokine signaling 7		SOCS7	AA625859	
6295	Hs.664148	Transcribed locus		NA	AA625860	
6296	Hs.480701	Major facilitator superfamily domain containing 8		MFSD8	AA625861	
6297	Hs.98243	"Serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)"		SPINK2	AA625888	
6298	Hs.149387	Myosin VI	Myosin VI is a molecular motor involved in intracellular vesicle and organelle transport. It is one of the so-called unconventional myosins.[supplied by OMIM]	MYO6	AA625890	
6299	Hs.657074	"Transcribed locus, moderately similar to XP_001060577.1 similar to ribosomal protein S27a [Rattus norvegicus]"		NA	AA625894	
6300	Data not found			NA	AA625901	
6301	Hs.471514	Rhomboid domain containing 1		RHBDD1	AA625907	
6302	Hs.92236	Myeloid/lymphoid or mixed-lineage leukemia 4	"This gene encodes a protein which contains multiple domains including a CXXC zinc finger, three PHD zinc fingers, two FY-rich domains, and a SET (suppressor of variegation, enhancer of zeste, and trithorax) domain. The SET domain is a conserved C-terminal domain that characterizes proteins of the MLL (mixed-lineage leukemia) family. This gene is ubiquitously expressed in adult tissues. It is also amplified in solid tumor cell lines, and may be involved in human cancer. Two alternatively spliced transcript variants encoding distinct isoforms have been reported for this gene, however, the full length nature of the shorter transcript is not known."	MLL4	AA625915	
6303	Hs.381214	Chromosome 21 open reading frame 56		C21orf56	AA625922	
6304	Hs.600692	Transcribed locus		NA	AA625955	
6305	Hs.511983	Calcium binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)	"To reach fertilization competence, spermatozoa undergo a series of morphological and molecular maturational processes, termed capacitation, involving protein tyrosine phosphorylation and increased intracellular calcium. The protein encoded by this gene localizes to the principal piece of the sperm flagellum in association with the fibrous sheath and exhibits calcium-binding when phosphorylated during capacitation. A pseudogene on chromosome 3 has been identified for this gene. Transcript variants of this gene encode multiple protein isoforms. An additional transcript and isoform has not been fully characterized."	CABYR	AA625956	
6306	Hs.664153	Transcribed locus		NA	AA625957	
6307	Hs.153412	CDNA clone IMAGE:4820809		NA	AA625959	
6308	Hs.144309	Polycomb group ring finger 3	"The protein encoded by this gene contains a C3HC4 type RING finger, which is a motif known to be involved in protein-protein interactions. The specific function of this protein has not yet been determined."	PCGF3	AA625964	
6309	Hs.519347	"Splicing factor, arginine/serine-rich 12"	"SFRS12 belongs to the superfamily of serine/arginine-rich (SR) splicing factors. It modulates splice site selection by regulating the activities of other SR proteins (Barnard et al., 2002).[supplied by OMIM]"	SFRS12	AA625967	
6310	Hs.525709	Tescalcin		TESC	AA625979	
6311	Hs.518249	"CCHC-type zinc finger, nucleic acid binding protein"	The ZNF9 protein contains 7 zinc finger domains and is believed to function as an RNA-binding protein. A CCTG expansion in intron 1 of the ZNF9 gene results in myotonic dystrophy type 2 (MIM 602668).[supplied by OMIM]	CNBP	AA625995	
6312	Hs.355708	Transmembrane protein 127		TMEM127	AA625998	
6313	Hs.517597	Potassium channel tetramerisation domain containing 17		KCTD17	AA626000	
6314	Hs.98247	Transcribed locus		NA	AA626010	
6315	Hs.375092	FLJ35934 protein		FLJ35934	AA626018	
6316	Hs.523774	EH-domain containing 1	"This gene belongs to a highly conserved gene family encoding EPS15 homology (EH) domain-containing proteins. The protein-binding EH domain was first noted in EPS15, a substrate for the epidermal growth factor receptor. The EH domain has been shown to be an important motif in proteins involved in protein-protein interactions and in intracellular sorting. The protein encoded by this gene is thought to play a role in the endocytosis of IGF1 receptors."	EHD1	AA626028	
6317	Hs.565632	Transcribed locus		NA	AA626038	
6318	Hs.376351	Pantothenate kinase 1	"This gene encodes a protein belonging to the pantothenate kinase family. Pantothenate kinase is a key regulatory enzyme in the biosynthesis of coenzyme A (CoA) in bacteria and mammalian cells. It catalyzes the first committed step in the universal biosynthetic pathway leading to CoA and is itself subject to regulation through feedback inhibition by CoA. Alternative splicing has been observed at this locus and three variants, each encoding a distinct isoform, have been identified."	PANK1	AA626076	
