ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
2076	Hs.80409	"Growth arrest and DNA-damage-inducible, alpha"	This gene is a member of a group of genes whose transcript levels are increased following stressful growth arrest conditions and treatment with DNA-damaging agents. The protein encoded by this gene responds to environmental stresses by mediating activation of the p38/JNK pathway via MTK1/MEKK4 kinase. The DNA damage-induced transcription of this gene is mediated by both p53-dependent and -independent mechanisms.	GADD45A	AA147214	
2077	Hs.193491	"Tubulin, beta 6"		TUBB6	AA147320	
2078	Hs.282417	"Phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)"		PYGL	AA147640	
2079	Hs.281680	Peroxisomal trans-2-enoyl-CoA reductase		PECR	AA147641	
2080	Hs.356467	"Cofactor required for Sp1 transcriptional activation, subunit 7, 70kDa"	"The activation of gene transcription is a multistep process that is triggered by factors that recognize transcriptional enhancer sites in DNA. These factors work with co-activators to direct transcriptional initiation by the RNA polymerase II apparatus. The protein encoded by this gene is a subunit of the CRSP (cofactor required for SP1 activation) complex, which, along with TFIID, is required for efficient activation by SP1. This protein is also a component of other multisubunit complexes e.g. thyroid hormone receptor-(TR-) associated proteins which interact with TR and facilitate TR function on DNA templates in conjunction with initiation factors and cofactors."	CRSP7	AA147642	
2081	Hs.657135	Hypothetical protein LOC148413		LOC148413	AA147928	
2082	Hs.129683	"Ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)"	"The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. This enzyme is closely related to a stimulator of iron transport (SFT), and is up-regulated in hereditary hemochromatosis. It also functions in the ubiquitination of the tumor-suppressor protein p53 and the hypoxia-inducible transcription factor HIF1alpha by interacting with the E1 ubiquitin-activating enzyme and the E3 ubiquitin-protein ligases."	UBE2D1	AA148102	
2083	Hs.655002	Integrin-linked kinase	"Transduction of extracellular matrix signals through integrins influences intracellular and extracellular functions, and appears to require interaction of integrin cytoplasmic domains with cellular proteins. Integrin-linked kinase (ILK), interacts with the cytoplasmic domain of beta-1 integrin. This gene encodes a serine/threonine protein kinase with 4 ankyrin-like repeats, which associates with the cytoplasmic domain of beta integrins and acts as a proximal receptor kinase regulating integrin-mediated signal transduction. Multiple alternatively spliced transcript variants encoding the same protein have been found for this gene."	ILK	AA148200	
2084	Hs.90753	"HIV-1 Tat interactive protein 2, 30kDa"		HTATIP2	AA148230	
2085	Hs.591469	"Discoidin domain receptor family, member 2"	"Receptor tyrosine kinases (RTKs) play a key role in the communication of cells with their microenvironment. These molecules are involved in the regulation of cell growth, differentiation, and metabolism. In several cases the biochemical mechanism by which RTKs transduce signals across the membrane has been shown to be ligand induced receptor oligomerization and subsequent intracellular phosphorylation. This autophosphorylation leads to phosphorylation of cytosolic targets as well as association with other molecules, which are involved in pleiotropic effects of signal transduction. RTKs have a tripartite structure with extracellular, transmembrane, and cytoplasmic regions. This gene encodes a member of a novel subclass of RTKs and contains a distinct extracellular region encompassing a factor VIII-like domain. Alternative splicing in the 5' UTR results in multiple transcript variants encoding the same protein."	DDR2	AA148524	
2086	Hs.592061	Hypothetical protein MGC4655		MGC4655	AA148532	
2087	Hs.524750	Nucleoporin 98kDa	"Signal-mediated nuclear import and export proceed through the nuclear pore complex (NPC), which is comprised of approximately 50 unique proteins collectively known as nucleoporins. The 98 kD nucleoporin is generated through a biogenesis pathway that involves synthesis and proteolytic cleavage of a 186 kD precursor protein. This cleavage results in the 98 kD nucleoporin as well as a 96 kD nucleoporin, both of which are localized to the nucleoplasmic side of the NPC. Rat studies show that the 98 kD nucleoporin functions as one of several docking site nucleoporins of transport substrates. The human gene has been shown to fuse to several genes following chromsome translocatons in acute myelogenous leukemia (AML) and T-cell acute lymphocytic leukemia (T-ALL). This gene is one of several genes located in the imprinted gene domain of 11p15.5, an important tumor-suppressor gene region. Alterations in this region have been associated with the Beckwith-Wiedemann syndrome, Wilms tumor, rhabdomyosarcoma, adrenocortical carcinoma, and lung, ovarian, and breast cancer. Alternative splicing of this gene results in several transcript variants; however, not all variants have been fully described."	NUP98	AA148536	
2088	Hs.657242	"Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)"	"The intracellular fatty acid-binding proteins (FABPs) belongs to a multigene family. FABPs are divided into at least three distinct types, namely the hepatic-, intestinal- and cardiac-type. They form 14-15 kDa proteins and are thought to participate in the uptake, intracellular metabolism and/or transport of long-chain fatty acids. They may also be responsible in the modulation of cell growth and proliferation. Fatty acid-binding protein 3 gene contains four exons and its function is to arrest growth of mammary epithelial cells. This gene is a candidate tumor suppressor gene for human breast cancer."	FABP3	AA148548	
2089	Hs.525549	BTB (POZ) domain containing 7		BTBD7	AA148683	
2090	Hs.656887	"Carboxypeptidase X (M14 family), member 2"		CPXM2	AA148685	
2091	Hs.374774	Ankyrin repeat domain 29		ANKRD29	AA148735	
2092	Hs.632267	Syndecan 4	"The protein encoded by this gene is a transmembrane (type I) heparan sulfate proteoglycan that functions as a receptor in intracellular signaling. The encoded protein is found as a homodimer and is a member of the syndecan proteoglycan family. This gene is found on chromosome 20, while a pseudogene has been found on chromosome 22."	SDC4	AA148736	
2093	Hs.335068	Trimethylguanosine synthase homolog (S. cerevisiae)		TGS1	AA148859	
2094	Hs.71912	Transmembrane protein 112		TMEM112	AA148929	
2095	Hs.413366	"Adaptor-related protein complex 4, epsilon 1 subunit"	"The heterotetrameric adaptor protein (AP) complexes sort integral membrane proteins at various stages of the endocytic and secretory pathways. AP4 is composed of 2 large chains, beta-4 (AP4B1; MIM 607245) and epsilon-4 (AP4E1), a medium chain, mu-4 (AP4M1; MIM 602296), and a small chain, sigma-4 (AP4S1; MIM 607243).[supplied by OMIM]"	AP4E1	AA148945	
2096	Hs.444781	Transcribed locus		NA	AA149061	
2097	Hs.655210	Hemopoietic cell kinase	"The protein encoded by this gene is a protein-tyrosine kinase that is predominantly expressed in hemopoietic cell types. The encoded protein may help couple the Fc receptor to the activation of the respiratory burst. In addition, it may play a role in neutrophil migration and in the degranulation of neutrophils. Alternate translation initiation site usage, including a non-AUG (CUG) codon, results in the production of two different isoforms, that have different subcellular localization."	HCK	AA149096	
2098	Hs.598424	"Transcribed locus, moderately similar to NP_057558.3 protein LOC51244 [Homo sapiens]"		NA	AA149117	
2099	Hs.55781	"3-oxoacyl-ACP synthase, mitochondrial"		OXSM	AA149172	
2100	Hs.594695	Transcribed locus		NA	AA149174	
2101	Hs.480116	WD repeat and FYVE domain containing 3	"This gene encodes a protein which contains WD repeats and an FYVE domain. Multiple alternatively spliced transcript variants have been found for this gene, but the full-length nature of some variants has not been defined."	WDFY3	AA149198	
2102	Hs.494192	Osteoclast stimulating factor 1		OSTF1	AA149226	
2103	Hs.449296	KIAA0947 protein		KIAA0947	AA149527	
2104	Hs.489051	Six transmembrane epithelial antigen of the prostate 2		STEAP2	AA149579	
2105	Hs.495656	Transducin (beta)-like 1X-linked	"The protein encoded by this gene has sequence similarity with members of the WD40 repeat-containing protein family. The WD40 group is a large family of proteins, which appear to have a regulatory function. It is believed that the WD40 repeats mediate protein-protein interactions and members of the family are involved in signal transduction, RNA processing, gene regulation, vesicular trafficking, cytoskeletal assembly and may play a role in the control of cytotypic differentiation. This encoded protein is found as a subunit in corepressor SMRT (silencing mediator for retinoid and thyroid receptors) complex along with histone deacetylase 3 protein. This gene is located adjacent to the ocular albinism gene and it is thought to be involved in the pathogenesis of the ocular albinism with late-onset sensorineural deafness phenotype. This gene is highly similar to the Y chromosome TBL1Y gene."	TBL1X	AA149637	
2106	Hs.654360	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	"Oncogene FLT belongs to the src gene family and is related to oncogene ROS (MIM 165020). Like other members of this family, it shows tyrosine protein kinase activity that is important for the control of cell proliferation and differentiation. The sequence structure of the FLT gene resembles that of the FMS gene (MIM 164770); hence, Yoshida et al. (1987) proposed the name FLT as an acronym for FMS-like tyrosine kinase.[supplied by OMIM]"	FLT1	AA149640	
2107	Hs.534612	"RAB7B, member RAS oncogene family"		RAB7B	AA149641	
2108	Hs.468675	Podoplanin	This gene encodes a type-I integral membrane glycoprotein with diverse distribution in human tissues. The physiological function of this protein may be related to its mucin-type character. The homologous protein in other species has been described as a differentiation antigen and influenza-virus receptor. The specific function of this protein has not been determined but it has been proposed as a marker of lung injury. Alternatively spliced transcript variants encoding different isoforms have been identified.	PDPN	AA149827	
